subject_id,instruction_2.stopped,Videos.stopped,condition,encoding_duration_sec,encoding_duration_min,passes_vigilance
sub129,17.26037290000022,1550.4250155000009,AB,1533.1646426000007,25.552744043333345,True
sub130,19.52259140000024,1532.8005449000011,AB,1513.2779535000009,25.221299225000013,True
sub131,25.27524319999793,1540.0427071000013,AB,1514.7674639000033,25.24612439833339,True
sub132,17.275251600003685,1581.0757494999998,AB,1563.8004978999961,26.063341631666603,True
sub133,22.386437299996032,1563.7847952999873,AB,1541.3983579999913,25.689972633333188,True
sub134,10.370339499990225,1541.6525623999914,AB,1531.2822229000012,25.52137038166669,True
sub135,24.850397100002738,1531.9298633,AB,1507.0794661999973,25.11799110333329,True
sub136,31.943066299994825,1570.1580495999951,AB,1538.2149833000003,25.63691638833334,True
sub137,24.703572900005383,1535.95314350001,AB,1511.2495706000045,25.18749284333341,True
sub138,39.702131400001235,1578.7248302999942,AB,1539.022698899993,25.650378314999884,True
sub139,23.45196429999487,1541.5141625999968,AB,1518.062198300002,25.301036638333365,True
sub14,15.83766590000596,1528.7537294000213,NB,1512.9160635000153,25.215267725000256,True
sub140,25.992683799995575,1549.7656806000014,AB,1523.7729968000058,25.39621661333343,True
sub141,19.713443200002075,1538.523085000008,AB,1518.809641800006,25.313494030000097,True
sub142,16.863453600002686,1526.4774140999943,AB,1509.6139604999917,25.16023267499986,True
sub143,13.040307100003702,1531.1550225999963,AB,1518.1147154999926,25.301911924999878,True
sub144,28.036985899991123,1572.952852399991,AB,1544.9158664999998,25.748597774999997,True
sub145,40.347412199989776,1579.4584618999943,AB,1539.1110497000045,25.65185082833341,True
sub146,25.8374318999995,1546.471744200011,AB,1520.6343123000115,25.34390520500019,True
sub147,25.340782600003877,1562.2416811000005,AB,1536.9008984999966,25.615014974999944,True
sub148,30.885475900009624,1651.7180697000003,AB,1620.8325937999907,27.013876563333177,True
sub149,19.11856699999771,1604.8305647000088,AB,1585.7119977000111,26.428533295000186,True
sub15,19.971990299993195,1535.4210224999988,NB,1515.4490322000056,25.257483870000094,True
sub150,21.283851000014693,1539.1933122999908,NB,1517.909461299976,25.29849102166627,True
sub151,20.65486109998892,1650.335687599989,NB,1629.6808265,27.161347108333334,False
sub152,19.374818000011143,1595.1778824999928,NB,1575.8030644999817,26.263384408333028,True
sub153,25.727435999986483,1615.8242899999896,NB,1590.096854000003,26.501614233333385,True
sub154,24.21328209998319,1560.867867599998,NB,1536.6545855000147,25.61090975833358,True
sub155,18.21527960000094,1568.0387062000227,NB,1549.8234266000218,25.830390443333695,True
sub156,17.72773819998838,1541.3174055999843,NB,1523.589667399996,25.393161123333265,True
sub157,22.0151800000167,1569.4566387000086,AB,1547.441458699992,25.7906909783332,True
sub158,18.141621499991743,1559.2975835999823,NB,1541.1559620999906,25.68593270166651,True
sub159,16.422507500014035,1535.7782645999978,NB,1519.3557570999837,25.322595951666397,True
sub16,18.58309250001912,1520.9493647000054,NB,1502.3662721999863,25.03943786999977,True
sub160,17.86302560000331,1584.7281214999966,NB,1566.8650958999933,26.114418264999887,True
sub161,17.445160100003704,1697.2981216000044,NB,1679.8529615000007,27.997549358333345,False
sub162,8.395363099989481,1601.194892600004,NB,1592.7995295000146,26.546658825000243,True
