participant_id,condition,accuracy,resp.corr_std,n_trials,mean_rt,median_rt,resp.rt_std,mean_confidence,conf_radio.response_std
sub135,AB,75.0,0.4385290096535146,40,5.022419130000344,4.694497299999057,2.125405640598257,3.2,1.4884168150705015
sub136,AB,90.0,0.30382181012509996,40,6.154597777500021,5.263185149997298,2.7419663152762035,3.7,0.5638694156883473
sub137,AB,87.5,0.33493206352854177,40,6.952714304999972,6.528886800006148,3.4684715725909334,4.225,1.2086759019263333
sub138,AB,70.0,0.46409548089225705,40,5.681566512498466,5.65446140000131,2.2952565997292753,3.45,0.8149248824907509
sub139,AB,95.0,0.22072142786315224,40,5.770405915001175,5.4115363500022795,2.0969949339544094,4.025,1.0497252387758795
sub14,NB,82.5,0.3848076442547927,40,6.433024412498344,4.580222999982652,5.318002160226744,4.5,0.9870962335856488
sub140,AB,80.0,0.40509574683346666,40,5.556621632500173,4.977346500003478,2.217772806382594,4.475,0.9333562268254526
sub141,AB,82.5,0.38480764425479275,40,4.8648440449997,3.9467969999968773,2.2880967186819414,3.85,1.3310878527711352
sub142,AB,57.49999999999999,0.5006406152531231,40,3.8725640200009366,3.735607300004631,1.2317502644905227,4.425,0.7807787039970958
sub143,AB,77.5,0.4229020617662602,40,3.473966840000867,3.3744819499988807,1.4356340644660013,4.675,0.8883144511391021
sub144,AB,92.5,0.26674678283691844,40,5.019161572500889,4.176157500005502,2.596267925380994,4.75,0.588348405414552
sub145,AB,77.5,0.42290206176626033,40,6.186714199998096,5.1229476500011515,4.156862268770847,4.075,1.3085027654458692
sub146,AB,75.0,0.4385290096535146,40,8.176442639999369,6.060873450005602,6.86523213769133,4.025,1.1654755824698058
sub147,AB,80.0,0.40509574683346666,40,6.244800024998767,5.614330600001267,3.120508712549755,3.6,1.0327955589886444
sub148,AB,72.5,0.4522025867763026,40,5.3990896449988215,4.479889900001581,3.121946672836769,3.8,1.017790467580354
sub149,AB,77.5,0.4229020617662603,40,5.90549338750061,5.157198500019149,3.1717712872419086,3.625,1.4444855352472248
sub15,NB,80.0,0.40509574683346666,40,4.913454105002165,4.4127028999937465,2.310027609684897,4.275,0.9867714774546074
sub150,NB,85.0,0.3616202853397895,40,3.766880367500562,3.6055999499949394,1.402745837464655,4.275,0.9333562268254528
sub152,NB,80.0,0.40509574683346666,40,9.385041922501113,8.613053999986732,3.809668356242508,3.5,1.2403473458920846
sub153,NB,70.0,0.4640954808922571,40,4.893822125003498,3.8262817500071833,2.670461773696461,4.225,0.9736924170788859
sub154,NB,95.0,0.22072142786315224,40,4.533935000003112,4.202565750005306,1.4448261027576368,4.25,1.0315534712764842
sub155,NB,87.5,0.33493206352854177,40,5.4584839724986525,4.741480599986971,2.729036307332472,4.475,0.905467721606792
sub156,NB,95.0,0.22072142786315224,40,4.370602202498413,3.940539749994059,1.7347147827306075,4.65,0.6222374845503019
sub157,AB,85.0,0.36162028533978946,40,4.7479849075010865,4.172864200008917,2.270092851517052,4.25,0.8697184926229038
sub158,NB,82.5,0.3848076442547927,40,6.255754775000241,5.794020750006894,2.8676895300158844,4.275,0.9867714774546075
sub159,NB,82.5,0.3848076442547927,40,5.470249600003444,4.4182255000196164,3.0605084236043334,4.125,1.1807754948468268
sub16,NB,67.5,0.47434164902525683,40,6.249812934998772,5.584414850003668,2.5440837322343897,3.875,1.3045777389343556
sub160,NB,75.0,0.4385290096535145,40,3.874103595002089,3.547018500001286,1.5514701285999883,4.375,1.1915837338902353
sub162,NB,82.5,0.38480764425479264,40,3.219387559997267,2.917245450007613,1.0705321297261625,3.3,1.5392305770191705
sub163,NB,95.0,0.22072142786315224,40,4.985194747500645,4.573144349997165,2.1536086225458604,3.975,0.8911962574151493
sub164,NB,82.5,0.3848076442547927,40,10.871268714997132,6.614525600001798,11.295236171142363,5.0,0.0
sub165,NB,87.5,0.33493206352854177,40,4.178033987501112,3.7811373000004096,2.1886642032908177,4.675,0.6938373414643062
sub166,NB,92.5,0.26674678283691855,40,5.534047029999056,4.106762149996939,2.9536303103788892,3.9,1.127738831376694
sub167,NB,95.0,0.22072142786315224,40,4.555101190001733,3.7049638499884168,2.484639594045793,4.6,0.8711913446392584
sub168,NB,97.5,0.15811388300841897,40,6.2600108124970575,6.09101129998453,2.905944484891862,4.625,0.806623224089801
sub169,NB,87.5,0.3349320635285418,40,6.584855410003366,4.874286000005668,5.013883307469136,4.375,1.0545992068930676
sub17,NB,97.5,0.15811388300841897,40,5.914260652501253,5.170805850008037,2.6229225487618955,4.325,1.2065526224617102
sub170,NB,90.0,0.3038218101251,40,5.642395432495687,4.279868399986299,3.92751112815539,3.575,1.4302142568555316
sub171,NB,72.5,0.45220258677630265,40,7.366088045001379,6.493199399992591,3.2556707131570506,3.0,1.26085034391223
sub172,NB,87.5,0.33493206352854177,40,5.983497650001664,5.955634700017981,3.0352801459242555,3.575,1.4480313780422274
sub173,NB,80.0,0.4050957468334666,40,6.965194089996658,6.830522549993475,3.011275183835728,4.225,0.9736924170788859
sub174,NB,95.0,0.22072142786315224,40,5.4812397999980025,4.48583960000542,2.9891516080802516,4.15,0.7355444521071727
sub175,NB,90.0,0.30382181012509996,40,5.10812078750314,4.760718600009568,2.1827571920043747,4.425,0.6359930655967716
sub176,NB,65.0,0.48304589153964794,40,6.219046717489254,5.5732450999785215,2.096391425497793,4.0,0.9336995618478525
sub177,NB,95.0,0.22072142786315221,40,4.2081182724941755,3.41959185001906,2.1935259239583345,4.4,1.1723305738395524
sub178,NB,82.5,0.38480764425479264,40,3.9366913724981716,3.4921918499749154,1.8430632050439522,4.6,0.7778998683173852
sub179,NB,85.0,0.36162028533978946,40,6.802808999999252,6.044465400016634,2.8169950815920775,4.3,1.2025613689761725
sub18,NB,95.0,0.22072142786315224,40,4.1020021850032204,3.560532650008099,2.031799451666292,4.125,1.284772752529032
sub180,NB,90.0,0.30382181012509996,40,5.761077582492726,5.128254350012867,2.7433526267978965,4.425,1.2171319798650662
sub181,NB,92.5,0.2667467828369185,40,3.2556977824991917,2.8166881000215653,1.3870813899289636,4.7,0.790974731354312
sub182,NB,85.0,0.36162028533978946,40,5.0403053599977286,3.834398999984842,3.133615527866511,3.825,0.9306049865682222
sub183,NB,87.5,0.3349320635285418,40,5.82489673999662,5.247088450007141,2.8105722627216063,4.15,1.1668498024760778
sub184,NB,77.5,0.4229020617662603,40,2.9811025575036183,2.71008604997769,1.0420355028234118,4.1,0.8711913446392584
sub185,NB,90.0,0.3038218101251,40,5.6383355799946,4.938000200025272,3.0760692052756604,4.3,0.723240570679579
sub19,NB,92.5,0.2667467828369185,40,3.6123558174999912,3.403146799999945,1.4947721452828457,4.85,0.483045891539648
sub21,NB,87.5,0.3349320635285418,40,7.037956332500039,6.560830050000277,2.6422564854429145,3.875,1.1365151414154882
sub22,NB,92.5,0.2667467828369185,40,6.032438907499932,5.4954031999996005,2.7313361014023054,4.075,1.3279538916926064
sub23,AB,82.5,0.3848076442547927,40,4.630832950000058,4.119443900000078,2.0748669366306274,3.725,1.5522935884089013
sub24,NB,90.0,0.30382181012509996,40,3.883507074999943,3.2218613000004552,2.0134592764639216,4.7,0.6076436202501998
sub25,AB,87.5,0.33493206352854177,40,7.550236340000083,6.541634700000941,3.662669953341316,4.275,0.9867714774546074
sub26,AB,92.5,0.26674678283691855,40,4.4982109199998375,4.127312450002137,1.8168236667330289,2.9,1.3165611772087664
sub27,AB,92.5,0.2667467828369185,40,4.587174685000173,3.7708225999995193,2.6677291201325604,4.125,1.0666866985298507
sub28,AB,95.0,0.22072142786315233,40,11.632787677500255,8.121029300000373,12.987514561721735,4.85,0.5795665931516721
sub29,AB,85.0,0.36162028533978946,40,7.372763917500015,5.664961650001715,4.292824753579755,4.3,0.8828857114526087
sub30,AB,77.5,0.42290206176626033,40,4.8228026900002074,3.938044649999938,2.6544423279921374,4.3,1.0907536796837267
sub31,AB,85.0,0.36162028533978946,40,6.063545314999283,4.899211899995862,3.6500514303522342,4.525,0.8469401940560456
sub33,AB,82.5,0.3848076442547927,40,6.304348355000911,5.374403799993161,3.250825812022307,4.45,0.8149248824907509
sub34,AB,85.0,0.36162028533978946,40,4.655941097500909,4.527502000004461,1.5340935720383573,3.575,1.3938969538487118
sub35,AB,90.0,0.3038218101251,40,4.313216292497964,3.4101762499994948,2.425430381534632,4.775,0.7675301714607474
sub37,AB,82.5,0.3848076442547927,40,6.330644242499693,4.745086400005675,4.090547150148775,3.4,1.4105827128331005
sub38,AB,82.5,0.38480764425479264,40,5.87346181249959,4.94951454999682,2.766715683034696,4.75,0.6304251719561152
sub39,AB,90.0,0.3038218101251,40,7.033939744999588,5.95375464999961,3.8797082290984424,3.675,1.4743534002124283
sub40,AB,77.5,0.42290206176626033,40,6.478003600000375,5.788125999999465,3.8380710534734215,4.725,0.678894274462111
sub44,NB,90.0,0.30382181012509996,40,5.261331962500845,4.361227899993537,2.80154846568869,4.4,0.9554164080758258
sub45,NB,100.0,0.0,40,4.766933889997745,4.42029165000713,2.4205925105153057,4.625,0.9789450103725609
sub46,NB,97.5,0.15811388300841897,40,6.539318437497423,4.557124550003209,4.630613141732004,4.575,0.6751068291531577
sub47,NB,82.5,0.38480764425479264,40,6.052195159995608,5.230287250000401,3.5718560743247285,4.375,0.9789450103725612
sub48,NB,87.5,0.3349320635285418,40,4.010417092499847,3.6953200499992818,1.4488623828711067,3.975,1.143263435106398
sub49,NB,90.0,0.30382181012509996,40,5.829123224999057,5.082711249997374,2.8684860443204343,3.7,1.1367971201176104
sub50,NB,87.5,0.3349320635285418,40,8.717921852502332,6.269505749995005,7.520810719173134,4.225,1.165475582469806
sub51,NB,85.0,0.36162028533978946,40,6.114636632491601,5.65375125000719,2.357520736012206,4.55,0.9323254631461961
sub52,NB,90.0,0.3038218101251,40,4.939929319990915,4.255327049992047,2.334225243652584,4.275,1.1319939294935537
sub53,NB,95.0,0.22072142786315224,40,5.944745974993566,5.502114999981131,2.1857687424085355,4.475,1.0374401434695166
sub54,NB,87.5,0.3349320635285419,40,5.336215665008058,4.57999080006266,2.098347627104365,4.35,0.6621642835894566
sub55,NB,90.0,0.30382181012509996,40,5.814105174996075,4.161248899996281,4.352463303713203,4.9,0.3789323733725368
